,종목코드,종목명,종류
175,A003070,코오롱글로벌,KOSPI
176,A003075,코오롱글로벌우,KOSPI
177,A003080,성보화학,KOSPI
178,A003090,대웅,KOSPI
179,A003120,일성신약,KOSPI
180,A003160,디아이,KOSPI
181,A003200,일신방직,KOSPI
182,A003220,대원제약,KOSPI
183,A003230,삼양식품,KOSPI
184,A003240,태광산업,KOSPI
185,A003280,흥아해운,KOSPI
186,A003300,한일홀딩스,KOSPI
187,A003350,한국화장품제조,KOSPI
188,A003410,쌍용양회,KOSPI
189,A003415,쌍용양회우,KOSPI
190,A003460,유화증권,KOSPI
191,A003465,유화증권우,KOSPI
192,A003470,유안타증권,KOSPI
193,A003475,유안타증권우,KOSPI
194,A003480,한진중공업홀딩스,KOSPI
195,A003490,대한항공,KOSPI
196,A003495,대한항공우,KOSPI
197,A003520,영진약품,KOSPI
198,A003530,한화투자증권,KOSPI
199,A003535,한화투자증권우,KOSPI
200,A003540,대신증권,KOSPI
201,A003545,대신증권우,KOSPI
202,A003547,대신증권2우B,KOSPI
203,A003550,LG,KOSPI
204,A003555,LG우,KOSPI
205,A003560,IHQ,KOSPI
206,A003570,S&T중공업,KOSPI
207,A003580,넥스트사이언스,KOSPI
208,A003610,방림,KOSPI
209,A003620,쌍용차,KOSPI
210,A003650,미창석유,KOSPI
211,A003670,포스코케미칼,KOSPI
212,A003680,한성기업,KOSPI
213,A003690,코리안리,KOSPI
214,A003720,삼영화학,KOSPI
215,A003780,진양산업,KOSPI
216,A003830,대한화섬,KOSPI
217,A003850,보령제약,KOSPI
218,A003920,남양유업,KOSPI
219,A003925,남양유업우,KOSPI
220,A003960,사조대림,KOSPI
221,A004000,롯데정밀화학,KOSPI
222,A004020,현대제철,KOSPI
223,A004060,SG세계물산,KOSPI
224,A004080,신흥,KOSPI
225,A004090,한국석유,KOSPI
226,A004100,태양금속,KOSPI
227,A004105,태양금속우,KOSPI
228,A004140,동방,KOSPI
229,A004150,한솔홀딩스,KOSPI
230,A004170,신세계,KOSPI
231,A004200,고려개발,KOSPI
232,A004250,NPC,KOSPI
233,A004255,NPC우,KOSPI
234,A004270,남성,KOSPI
235,A004310,현대약품,KOSPI
236,A004360,세방,KOSPI
237,A004365,세방우,KOSPI
238,A004370,농심,KOSPI
239,A004380,삼익THK,KOSPI
240,A004410,서울식품,KOSPI
241,A004415,서울식품우,KOSPI
242,A004430,송원산업,KOSPI
243,A004440,대림씨엔에스,KOSPI
244,A004450,삼화왕관,KOSPI
245,A004490,세방전지,KOSPI
246,A004540,깨끗한나라,KOSPI
247,A004545,깨끗한나라우,KOSPI
248,A004560,현대비앤지스틸,KOSPI
249,A004565,현대비앤지스틸우,KOSPI
250,A004690,삼천리,KOSPI
251,A004700,조광피혁,KOSPI
252,A004710,한솔테크닉스,KOSPI
253,A004720,우리들제약,KOSPI
254,A004770,써니전자,KOSPI
255,A004800,효성,KOSPI
256,A004830,덕성,KOSPI
257,A004835,덕성우,KOSPI
258,A004840,DRB동일,KOSPI
259,A004870,티웨이홀딩스,KOSPI
260,A004890,동일산업,KOSPI
261,A004910,조광페인트,KOSPI
262,A004920,씨아이테크,KOSPI
263,A004960,한신공영,KOSPI
264,A004970,신라교역,KOSPI
265,A004980,성신양회,KOSPI
266,A004985,성신양회우,KOSPI
267,A004990,롯데지주,KOSPI
268,A00499K,롯데지주우,KOSPI
269,A005010,휴스틸,KOSPI
270,A005030,부산주공,KOSPI
271,A005070,코스모신소재,KOSPI
272,A005090,삼광글라스,KOSPI
273,A005110,한창,KOSPI
274,A005180,빙그레,KOSPI
275,A005190,동성화학,KOSPI
276,A005250,녹십자홀딩스,KOSPI
277,A005257,녹십자홀딩스2우,KOSPI
278,A005300,롯데칠성,KOSPI
279,A005305,롯데칠성우,KOSPI
280,A005320,국동,KOSPI
281,A005360,모나미,KOSPI
282,A005380,현대차,KOSPI
283,A005385,현대차우,KOSPI
284,A005387,현대차2우B,KOSPI
285,A005389,현대차3우B,KOSPI
286,A005390,신성통상,KOSPI
287,A005420,코스모화학,KOSPI
288,A005430,한국공항,KOSPI
289,A005440,현대그린푸드,KOSPI
290,A005450,신한,KOSPI
291,A005490,POSCO,KOSPI
292,A005500,삼진제약,KOSPI
293,A005610,SPC삼립,KOSPI
294,A005680,삼영전자,KOSPI
295,A005690,파미셀,KOSPI
296,A005720,넥센,KOSPI
297,A005725,넥센우,KOSPI
298,A005740,크라운해태홀딩스,KOSPI
299,A005745,크라운해태홀딩스우,KOSPI
300,A005750,대림B&Co,KOSPI
301,A005800,신영와코루,KOSPI
302,A005810,풍산홀딩스,KOSPI
303,A005820,원림,KOSPI
304,A005830,DB손해보험,KOSPI
305,A005850,에스엘,KOSPI
306,A005870,휴니드,KOSPI
307,A005880,대한해운,KOSPI
308,A005930,삼성전자,KOSPI
309,A005935,삼성전자우,KOSPI
310,A005940,NH투자증권,KOSPI
311,A005945,NH투자증권우,KOSPI
312,A005950,이수화학,KOSPI
313,A005960,동부건설,KOSPI
314,A005965,동부건설우,KOSPI
315,A006040,동원산업,KOSPI
316,A006060,화승인더,KOSPI
317,A006090,사조오양,KOSPI
318,A006110,삼아알미늄,KOSPI
319,A006120,SK디스커버리,KOSPI
320,A006125,SK디스커버리우,KOSPI
321,A006200,한국전자홀딩스,KOSPI
322,A006220,제주은행,KOSPI
323,A006260,LS,KOSPI
324,A006280,녹십자,KOSPI
325,A006340,대원전선,KOSPI
326,A006345,대원전선우,KOSPI
327,A006360,GS건설,KOSPI
328,A006370,대구백화점,KOSPI
329,A006380,카프로,KOSPI
330,A006390,한일현대시멘트,KOSPI
331,A006400,삼성SDI,KOSPI
332,A006405,삼성SDI우,KOSPI
333,A006490,인스코비,KOSPI
334,A006570,대림통상,KOSPI
335,A006650,대한유화,KOSPI
336,A006660,삼성공조,KOSPI
337,A006740,영풍제지,KOSPI
338,A006800,미래에셋대우,KOSPI
339,A006805,미래에셋대우우,KOSPI
340,A00680K,미래에셋대우2우B,KOSPI
341,A006840,AK홀딩스,KOSPI
342,A006880,신송홀딩스,KOSPI
343,A006890,태경화학,KOSPI
344,A006980,우성사료,KOSPI
345,A007070,GS리테일,KOSPI
346,A007110,일신석재,KOSPI
347,A007120,미래아이앤지,KOSPI
348,A007160,사조산업,KOSPI
349,A007210,벽산,KOSPI
350,A007280,한국특수형강,KOSPI
351,A007310,오뚜기,KOSPI
352,A007340,디티알오토모티브,KOSPI
353,A007460,에이프로젠 KIC,KOSPI
354,A007540,샘표,KOSPI
355,A007570,일양약품,KOSPI
356,A007575,일양약품우,KOSPI
357,A007590,동방아그로,KOSPI
358,A007610,선도전기,KOSPI
359,A007630,폴루스바이오팜,KOSPI
360,A007660,이수페타시스,KOSPI
361,A007690,국도화학,KOSPI
362,A007700,F&F,KOSPI
363,A007810,코리아써키트,KOSPI
364,A007815,코리아써우,KOSPI
365,A00781K,코리아써키트2우B,KOSPI
366,A007860,서연,KOSPI
367,A007980,태평양물산,KOSPI
368,A008040,사조동아원,KOSPI
369,A008060,대덕전자,KOSPI
370,A00806K,대덕전자1우,KOSPI
371,A008110,대동전자,KOSPI
372,A008250,이건산업,KOSPI
373,A008260,NI스틸,KOSPI
374,A008350,남선알미늄,KOSPI
375,A008355,남선알미우,KOSPI
376,A008420,문배철강,KOSPI
377,A008490,서흥,KOSPI
378,A008500,일정실업,KOSPI
379,A008560,메리츠종금증권,KOSPI
380,A008600,윌비스,KOSPI
381,A008700,아남전자,KOSPI
382,A008730,율촌화학,KOSPI
383,A008770,호텔신라,KOSPI
384,A008775,호텔신라우,KOSPI
385,A008870,금비,KOSPI
386,A008930,한미사이언스,KOSPI
387,A008970,동양철관,KOSPI
388,A009070,KCTC,KOSPI
389,A009140,경인전자,KOSPI
390,A009150,삼성전기,KOSPI
391,A009155,삼성전기우,KOSPI
392,A009160,SIMPAC,KOSPI
393,A009180,한솔로지스틱스,KOSPI
394,A009190,대양금속,KOSPI
395,A009200,무림페이퍼,KOSPI
396,A009240,한샘,KOSPI
397,A009270,신원,KOSPI
398,A009275,신원우,KOSPI
399,A009290,광동제약,KOSPI
400,A009310,참엔지니어링,KOSPI
401,A009320,대우부품,KOSPI
402,A009410,태영건설,KOSPI
403,A009415,태영건설우,KOSPI
404,A009420,한올바이오파마,KOSPI
405,A009440,KC그린홀딩스,KOSPI
406,A009450,경동나비엔,KOSPI
407,A009460,한창제지,KOSPI
408,A009470,삼화전기,KOSPI
409,A009540,한국조선해양,KOSPI
410,A009580,무림P&P,KOSPI
411,A009680,모토닉,KOSPI
412,A009770,삼정펄프,KOSPI
413,A009810,엔케이물산,KOSPI
414,A009830,한화케미칼,KOSPI
415,A009835,한화케미칼우,KOSPI
416,A009970,영원무역홀딩스,KOSPI
417,A010040,한국내화,KOSPI
418,A010050,우리종금,KOSPI
419,A010060,OCI,KOSPI
420,A010100,한국프랜지,KOSPI
421,A010120,LS산전,KOSPI
422,A010130,고려아연,KOSPI
423,A010140,삼성중공업,KOSPI
424,A010145,삼성중공우,KOSPI
425,A010400,우진아이엔에스,KOSPI
426,A010420,한솔PNS,KOSPI
427,A010580,지코,KOSPI
428,A010600,웰바이오텍,KOSPI
429,A010620,현대미포조선,KOSPI
430,A010640,진양폴리,KOSPI
431,A010660,화천기계,KOSPI
432,A010690,화신,KOSPI
433,A010770,평화홀딩스,KOSPI
434,A010780,아이에스동서,KOSPI
435,A010820,퍼스텍,KOSPI
436,A010950,S-Oil,KOSPI
437,A010955,S-Oil우,KOSPI
438,A010960,삼호개발,KOSPI
439,A011000,진원생명과학,KOSPI
440,A011070,LG이노텍,KOSPI
441,A011090,에넥스,KOSPI
442,A011150,CJ씨푸드,KOSPI
443,A011155,CJ씨푸드1우,KOSPI
444,A011160,두산건설,KOSPI
445,A011170,롯데케미칼,KOSPI
446,A011200,현대상선,KOSPI
447,A011210,현대위아,KOSPI
448,A011230,삼화전자,KOSPI
449,A011280,태림포장,KOSPI
450,A011300,성안,KOSPI
451,A011330,유니켐,KOSPI
452,A011390,부산산업,KOSPI
453,A011420,갤럭시아에스엠,KOSPI
454,A011500,한농화성,KOSPI
455,A011690,유양디앤유,KOSPI
456,A011700,한신기계,KOSPI
457,A011760,현대상사,KOSPI
458,A011780,금호석유,KOSPI
459,A011785,금호석유우,KOSPI
460,A011790,SKC,KOSPI
461,A011810,STX,KOSPI
462,A011930,신성이엔지,KOSPI
463,A012030,DB,KOSPI
464,A012160,영흥철강,KOSPI
465,A012170,키위미디어그룹,KOSPI
466,A012200,계양전기,KOSPI
467,A012205,계양전기우,KOSPI
468,A012280,영화금속,KOSPI
469,A012320,경동인베스트,KOSPI
470,A012330,현대모비스,KOSPI
471,A012450,한화에어로스페이스,KOSPI
472,A012510,더존비즈온,KOSPI
473,A012600,청호컴넷,KOSPI
474,A012610,경인양행,KOSPI
475,A012630,HDC,KOSPI
476,A012690,모나리자,KOSPI
477,A012750,에스원,KOSPI
478,A012800,대창,KOSPI
479,A013000,세우글로벌,KOSPI
480,A013360,일성건설,KOSPI
481,A013520,화승알앤에이,KOSPI
482,A013570,디와이,KOSPI
483,A013580,계룡건설,KOSPI
484,A013700,까뮤이앤씨,KOSPI
485,A013870,지엠비코리아,KOSPI
486,A013890,지누스,KOSPI
487,A014130,한익스프레스,KOSPI
488,A014160,대영포장,KOSPI
489,A014280,금강공업,KOSPI
490,A014285,금강공업우,KOSPI
491,A014440,영보화학,KOSPI
492,A014530,극동유화,KOSPI
493,A014580,백광소재,KOSPI
494,A014680,한솔케미칼,KOSPI
495,A014710,사조씨푸드,KOSPI
496,A014790,한라,KOSPI
497,A014820,동원시스템즈,KOSPI
498,A014825,동원시스템즈우,KOSPI
499,A014830,유니드,KOSPI
500,A014910,성문전자,KOSPI
501,A014915,성문전자우,KOSPI
