A078520,에이블씨엔씨
A015260,에이엔피
A007460,에이프로젠 KIC
A003060,에이프로젠제약
A085310,엔케이
A014440,영보화학
A003520,영진약품
A000670,영풍
A006740,영풍제지
A012280,영화금속
A012160,영흥철강
A007310,오뚜기
A002630,오리엔트바이오
A271560,오리온
A004720,우리들제약
A006980,우성사료
A017370,우신시스템
A105840,우진
A049800,우진플라임
A103130,웅진에너지
A005820,원림
A033270,유나이티드제약
A014830,유니드
A000910,유니온
A047400,유니온머티리얼
A011330,유니켐
A002920,유성기업
A011690,유양디앤유
A000220,유유제약
A000225,유유제약1우
A000227,유유제약2우B
A000100,유한양행
A000105,유한양행우
A008730,율촌화학
A008250,이건산업
A025820,이구산업
A007660,이수페타시스
A005950,이수화학
A102460,이연제약
A014990,인디에프
A023800,인지컨트롤스
A023810,인팩
A249420,일동제약
A003120,일성신약
A003200,일신방직
A007570,일양약품
A007575,일양약품우
A008500,일정실업
A081000,일진다이아
A020760,일진디스플
A020150,일진머티리얼즈
A103590,일진전기
A226320,잇츠한불
A033240,자화전자
A000950,전방
A194370,제이에스코퍼레이션
A025620,제이준코스메틱
A271980,제일약품
A001560,제일연마
A004910,조광페인트
A004700,조광피혁
A001550,조비
A000480,조선내화
A120030,조선선재
A018470,조일알미늄
A002600,조흥
A185750,종근당
A063160,종근당바이오
A001630,종근당홀딩스
A044380,주연테크
A013870,지엠비코리아
A010580,지코
A003780,진양산업
A010640,진양폴리
A100250,진양홀딩스
A051630,진양화학
A011000,진원생명과학
A009310,참엔지니어링
A012600,청호컴넷
A033250,체시스
A006380,카프로
A109070,컨버즈
A001620,케이비아이동국실업
A029460,케이씨
A281820,케이씨텍
A007815,코리아써우
A007810,코리아써키트
A00781K,코리아써키트2우B
A152330,코리아오토글라스
A192820,코스맥스
A005070,코스모신소재
A005420,코스모화학
A071950,코아스
A144620,코오롱머티리얼
A120110,코오롱인더
A120115,코오롱인더우
A138490,코오롱플라스틱
A015590,큐로
A264900,크라운제과
A26490K,크라운제과우
A015890,태경산업
A006890,태경화학
A003240,태광산업
A011280,태림포장
A004100,태양금속
A004105,태양금속우
A001420,태원물산
A007980,태평양물산
A055490,테이팩스
A214420,토니모리
A019180,티에이치엔
A004870,티웨이홀딩스
A005690,파미셀
A036580,팜스코
A010820,퍼스텍
A016800,퍼시스
A001020,페이퍼코리아
A090080,평화산업
A010770,평화홀딩스
A058430,포스코강판
A003670,포스코케미칼
A007630,폴루스바이오팜
A017810,풀무원
A103140,풍산
A033180,필룩스
A293480,하나제약
A071090,하이스틸
A019490,하이트론
A000080,하이트진로
A000087,하이트진로2우B
A010040,한국내화
A025540,한국단자
A004090,한국석유
A002960,한국쉘석유
A002300,한국제지
A009540,한국조선해양
A025890,한국주강
A000970,한국주철관
A104700,한국철강
A017960,한국카본
A161890,한국콜마
A161390,한국타이어앤테크놀로지
A007280,한국특수형강
A010100,한국프랜지
A047810,한국항공우주
A003350,한국화장품제조
A011500,한농화성
A002390,한독
A042700,한미반도체
A128940,한미약품
A020000,한섬
A003680,한성기업
A105630,한세실업
A016450,한세예스24홀딩스
A213500,한솔제지
A014680,한솔케미칼
A004710,한솔테크닉스
A025750,한솔홈데코
A011700,한신기계
A018880,한온시스템
A009420,한올바이오파마
A300720,한일시멘트
A002220,한일철강
A006390,한일현대시멘트
A003300,한일홀딩스
A009460,한창제지
A000880,한화
A00088K,한화3우B
A012450,한화에어로스페이스
A000885,한화우
A009830,한화케미칼
A009835,한화케미칼우
A195870,해성디에스
A101530,해태제과식품
A143210,핸즈코퍼레이션
A267270,현대건설기계
A064350,현대로템
A079430,현대리바트
A012330,현대모비스
A010620,현대미포조선
A004560,현대비앤지스틸
A004565,현대비앤지스틸우
A004310,현대약품
A017800,현대엘리베이
A011210,현대위아
A267260,현대일렉트릭
A004020,현대제철
A267250,현대중공업지주
A005380,현대차
A005387,현대차2우B
A005389,현대차3우B
A005385,현대차우
A093240,형지엘리트
A111110,호전실업
A013520,화승알앤에이
A241590,화승엔터프라이즈
A006060,화승인더
A010690,화신
A133820,화인베스틸
A010660,화천기계
A000850,화천기공
A016580,환인제약
A032560,황금에스티
A298040,효성중공업
A298050,효성첨단소재
A298020,효성티앤씨
A298000,효성화학
A093370,후성
A005870,휴니드
A079980,휴비스
A005010,휴스틸
A069260,휴켐스
