A267290,경동도시가스
A117580,대성에너지
A015350,부산가스
A004690,삼천리
A017390,서울가스
A034590,인천도시가스
A071320,지역난방공사
A036460,한국가스공사
A015760,한국전력
A003480,한진중공업홀딩스
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
