A000120,CJ대한통운
A009070,KCTC
A044450,KSS해운
A003490,대한항공
A003495,대한항공우
A005880,대한해운
A004140,동방
A084670,동양고속
A004360,세방
A004365,세방우
A020560,아시아나항공
A298690,에어부산
A129260,인터지스
A089590,제주항공
A272450,진에어
A000650,천일고속
A001140,카리스국보
A091810,티웨이항공
A028670,팬오션
A005430,한국공항
A009180,한솔로지스틱스
A014130,한익스프레스
A002320,한진
A180640,한진칼
A18064K,한진칼우
A086280,현대글로비스
A011200,현대상선
A003280,흥아해운
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
